agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n
baseline,0.16,15,-1.0,44.394444444444446,7.320207756667621,0.35555555555555557,0.34444444444444444,35.022222222222226,1.1333333333333333,0.0,2.665510528073563,0.8027625656535289,90
baseline,0.2,0,-1.0,36.25111111111111,6.808660902263279,0.24444444444444444,0.24444444444444444,39.51111111111111,1.1444444444444444,0.0,3.6048888837942443,0.7566779213512843,90
baseline,0.2,2,-1.0,32.81222222222222,6.52670473715771,0.24444444444444444,0.2111111111111111,40.166666666666664,1.2,0.0,3.90145643313924,0.7507155178486554,90
baseline,0.2,4,-1.0,17.833333333333332,6.357099700668905,0.16666666666666666,0.16666666666666666,37.71111111111111,1.5222222222222221,0.0,3.5974575772826647,0.7421380205671255,90
baseline,0.2,6,-1.0,33.58555555555555,6.639446971147104,0.24444444444444444,0.24444444444444444,37.36666666666667,1.1666666666666667,0.0,3.4544180327011014,0.7720743390885624,90
baseline,0.2,8,-1.0,19.92222222222222,6.0487451423578715,0.15555555555555556,0.14444444444444443,39.077777777777776,1.3888888888888888,0.0,3.8550267959275426,0.7297105472278509,90
baseline,0.2,10,-1.0,24.484444444444442,6.089647979328329,0.17777777777777778,0.16666666666666666,39.86666666666667,1.3444444444444446,0.0,3.567513438522419,0.7763887682460907,90
baseline,0.2,12,-1.0,21.421111111111113,5.9921489404849515,0.15555555555555556,0.14444444444444443,40.98888888888889,1.4333333333333333,0.0,3.5332556281898553,0.7490835524902973,90
baseline,0.2,15,-1.0,32.09888888888889,7.101944748594993,0.26666666666666666,0.26666666666666666,37.233333333333334,1.3555555555555556,0.0,3.371268962604704,0.779109750481225,90
baseline,0.25,0,-1.0,29.724444444444448,6.405292621014808,0.2111111111111111,0.18888888888888888,41.2,1.2666666666666666,0.0,4.655677383821142,0.7728404099043584,90
baseline,0.25,2,-1.0,31.162222222222223,6.3106579245071,0.2111111111111111,0.18888888888888888,41.84444444444444,1.2,0.0,4.753082882303131,0.774959310916323,90
baseline,0.25,4,-1.0,23.63,6.441090285806636,0.17777777777777778,0.16666666666666666,39.01111111111111,1.3222222222222222,0.0,4.968693031755398,0.7625484699115243,90
baseline,0.25,6,-1.0,26.615555555555556,6.460413191470195,0.18888888888888888,0.17777777777777778,39.977777777777774,1.2555555555555555,0.0,4.576068063930371,0.7792840913451496,90
baseline,0.25,8,-1.0,12.517777777777777,5.160467364025808,0.1,0.1,39.51111111111111,1.4666666666666666,0.0,4.448511076689053,0.7716161919019238,90
baseline,0.25,10,-1.0,18.20777777777778,6.180284837174472,0.16666666666666666,0.16666666666666666,37.67777777777778,1.4666666666666666,0.0,4.413431282534759,0.7504285516930462,90
baseline,0.25,12,-1.0,16.563333333333333,5.947003452363382,0.12222222222222222,0.12222222222222222,39.733333333333334,1.4222222222222223,0.0,4.3930761929806526,0.7729123122722399,90
baseline,0.25,15,-1.0,29.565555555555555,6.4708676190367935,0.2222222222222222,0.2111111111111111,40.766666666666666,1.3666666666666667,0.0,4.283741408102297,0.7864612135175384,90
baseline,0.3,0,-1.0,32.768888888888895,6.659793206561928,0.23333333333333334,0.2222222222222222,40.888888888888886,1.2555555555555555,0.0,5.372385116445384,0.764370396609777,90
