agent,condition,seed,final_viability,mean_viability,success_rate,mean_identity_continuity,mean_self_error,final_contamination,mean_contamination,false_identity_adoption,goal_drift_rate,policy_drift_rate,audit_count,repair_count,rejected_claims,final_memory_reliability
stateless_language,control,77048,188.84281690984074,148.97738429263512,0.8,0.9944444444444446,0.06666666666666667,0.058333333333333334,0.056309859084660636,0.0,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77049,172.47670165035015,126.89630302351807,0.8166666666666667,0.9722222222222222,0.15,0.09649122807017543,0.15519415291374888,0.03333333333333333,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77050,218.79175604424535,162.5837042615706,0.9,0.9833333333333333,0.13333333333333333,0.08,0.0650686996312897,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77051,176.1730327248141,153.61577284104186,0.8,0.9722222222222222,0.13333333333333333,0.09917355371900827,0.07522472729321653,0.016666666666666666,0.05,0.016666666666666666,0,0,0,0.85
stateless_language,control,77052,193.3310443023497,139.86461707870777,0.8333333333333334,0.9833333333333333,0.11666666666666667,0.08403361344537816,0.078907964147086,0.016666666666666666,0.03333333333333333,0.0,0,0,0,0.85
stateless_language,control,77053,220.0,167.60440674017119,0.8833333333333333,1.0,0.03333333333333333,0.021052631578947368,0.005697609235608017,0.0,0.0,0.0,0,0,0,0.85
stateless_language,control,77054,218.7236661098195,167.881271422561,0.8833333333333333,0.9888888888888889,0.08333333333333333,0.07086614173228346,0.046469449084836516,0.0,0.0,0.03333333333333333,0,0,0,0.85
stateless_language,control,77055,179.8427428223481,147.16526272591366,0.8166666666666667,0.9722222222222222,0.15,0.08208955223880597,0.0804771431470995,0.016666666666666666,0.016666666666666666,0.05,0,0,0,0.85
stateless_language,control,77056,215.0672131147541,166.37862426654706,0.8666666666666667,0.9944444444444446,0.03333333333333333,0.01639344262295082,0.017619497591940876,0.0,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77057,196.52564728959481,154.088263894343,0.8333333333333334,0.9833333333333333,0.11666666666666667,0.07339449541284404,0.04728627258671045,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77058,162.1869969893812,133.68255433877286,0.75,0.9833333333333333,0.08333333333333333,0.05454545454545454,0.08094169175515606,0.0,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77059,220.0,163.22826303061174,0.8833333333333333,1.0,0.016666666666666666,0.025,0.006783672196185927,0.0,0.0,0.0,0,0,0,0.85
stateless_language,control,77060,178.16879980700512,140.43250519525276,0.8,0.9833333333333333,0.11666666666666667,0.09433962264150944,0.09026000160829044,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77061,195.2075615826456,136.61919388777372,0.8166666666666667,0.9888888888888889,0.08333333333333333,0.043478260869565216,0.044103653477953655,0.03333333333333333,0.0,0.0,0,0,0,0.85
stateless_language,control,77062,202.2762576086014,154.0829230794691,0.8833333333333333,0.9555555555555556,0.15,0.08928571428571429,0.11019785326165463,0.1,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77063,181.61187187344365,134.8470196936201,0.8,0.9722222222222222,0.1,0.056074766355140186,0.06990106772130246,0.06666666666666667,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77064,172.498977506173,124.96671075057752,0.8,0.9833333333333333,0.11666666666666667,0.08403361344537816,0.15084185411522474,0.05,0.0,0.0,0,0,0,0.85
