condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,35,PersistentSelf,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,35,MirrorNeuroSymbolic,119.44999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.724698376389659
control,36,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,36,MemoryOnly,123.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4,0,0.0
control,36,PersistentSelf,123.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4,0,0.0
control,36,MirrorNeuroSymbolic,121.85000000000001,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,0.6756666526550206
control,37,NeuralOnly,98.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0
control,37,MemoryOnly,97.3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,7,0,0.0
control,37,PersistentSelf,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,37,MirrorNeuroSymbolic,119.44999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.6515834194556842
control,38,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,38,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,38,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,38,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6529322689239627
control,39,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,39,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,39,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,39,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6559584374121795
control,40,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,40,MemoryOnly,123.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,8,0,0.0
control,40,PersistentSelf,123.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,8,0,0.0
control,40,MirrorNeuroSymbolic,121.75,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,2,1,0.705572967125811
control,41,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,41,MemoryOnly,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,41,PersistentSelf,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,41,MirrorNeuroSymbolic,119.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,2,0.7912291672470401
control,42,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,42,MemoryOnly,121.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,21,0,0.0
control,42,PersistentSelf,121.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,21,0,0.0
control,42,MirrorNeuroSymbolic,119.44999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.7295112382918661
control,43,NeuralOnly,66.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
control,43,MemoryOnly,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,43,PersistentSelf,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,43,MirrorNeuroSymbolic,117.25,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,5,5,0.7271779056042205
control,44,NeuralOnly,98.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0
control,44,MemoryOnly,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,44,PersistentSelf,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,44,MirrorNeuroSymbolic,121.75,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,2,1,0.7145448763631743
control,45,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,45,MemoryOnly,123.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,8,0,0.0
control,45,PersistentSelf,123.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,8,0,0.0
control,45,MirrorNeuroSymbolic,121.55,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,3,3,0.683290413921277
control,46,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,46,MemoryOnly,122.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,20,0,0.0
control,46,PersistentSelf,122.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,20,0,0.0
control,46,MirrorNeuroSymbolic,119.55,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,3,0.7785867858630766
control,47,NeuralOnly,30.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,47,MemoryOnly,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,47,PersistentSelf,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,47,MirrorNeuroSymbolic,119.55,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,3,0.7460470547301601
control,48,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,48,MemoryOnly,123.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2,0,0.0
control,48,PersistentSelf,123.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2,0,0.0
control,48,MirrorNeuroSymbolic,121.85000000000001,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,0.6657668625664608
