agent,perturbation,seed,viability,survival_steps,survived,collected,hazards_hit,final_energy,calibrations_env,scans_env,contradictions,calibrations_agent,scans_agent,repairs,r_global_mean,r_self_mean,r_sensor_mean,r_map_mean
A_predictor_only,control,9225,158.0,89,0,6,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9226,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9227,345.72,170,1,10,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9228,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9229,333.78,170,1,9,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9230,264.67,170,1,3,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9231,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9232,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9233,334.0,170,1,9,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9234,344.62,170,1,10,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9235,355.9,170,1,11,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9236,242.22,170,1,1,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9237,253.17,170,1,2,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9238,229.0,114,0,10,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9239,299.5,170,1,6,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9240,252.62,170,1,2,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9241,310.67,170,1,7,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9242,311.11,170,1,7,0,25.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9243,364.76,170,1,12,0,8.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9244,252.4,170,1,2,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9245,276.5,170,1,4,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9246,230.0,115,0,10,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9247,286.9,170,1,5,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9248,310.78,170,1,7,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9249,275.84,170,1,4,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9250,299.17,170,1,6,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9251,287.34,170,1,5,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9252,322.72,170,1,8,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9253,287.89,170,1,5,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9254,275.84,170,1,4,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9255,241.67,170,1,1,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9256,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9257,288.22,170,1,5,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9258,216.0,147,0,6,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9259,271.0,133,0,12,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9260,287.34,170,1,5,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9261,357.0,170,1,11,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9262,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9263,264.67,170,1,3,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9264,123.5,89,0,3,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9265,220.5,117,0,9,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9266,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9267,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9268,276.28,170,1,4,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9269,287.34,170,1,5,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9270,333.28,170,1,8,0,74.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9271,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9272,287.78,170,1,5,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9273,241.78,170,1,1,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9274,310.56,170,1,7,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9275,120.5,86,0,3,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9276,264.67,170,1,3,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9277,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9278,333.67,170,1,9,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9279,364.98,170,1,12,0,9.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9280,298.84,170,1,6,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9281,310.67,170,1,7,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9282,287.67,170,1,5,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9283,220.5,117,0,9,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9284,288.0,170,1,5,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9285,311.0,170,1,7,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9286,344.84,170,1,10,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9287,276.94,170,1,4,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9288,358.98,170,1,11,0,34.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9289,299.28,170,1,6,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9290,253.17,170,1,2,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9291,287.89,170,1,5,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9292,271.66,170,1,4,0,3.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9293,310.34,170,1,7,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9294,334.0,170,1,9,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9295,252.84,170,1,2,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9296,345.5,170,1,10,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9297,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9298,152.5,95,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9299,298.84,170,1,6,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9300,276.06,170,1,4,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9301,253.72,170,1,2,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9302,229.0,114,0,10,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9303,153.5,96,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9304,299.28,170,1,6,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9305,344.4,170,1,10,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9306,265.33,170,1,3,0,26.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9307,298.4,170,1,6,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9308,275.4,170,1,4,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9309,366.52,170,1,12,0,16.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9310,135.0,89,0,4,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9311,288.0,170,1,5,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9312,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9313,322.72,170,1,8,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9314,310.89,170,1,7,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9315,253.5,170,1,2,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9316,170.5,136,0,3,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9317,345.06,170,1,10,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9318,224.5,167,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9319,210.5,107,0,9,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9320,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9321,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9322,356.56,170,1,11,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9323,298.4,170,1,6,0,20.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9324,253.72,170,1,2,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9325,171.5,91,0,7,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9326,175.5,95,0,7,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
