agent,condition,seed,survived,completed,survival_time,resources_collected,final_energy,damage,repair_spend,repair_count,relocalizations,calibrations,map_checks,unnecessary_repairs,contradictions,mean_self_error,viability
A_no_reliability,control,15150,1,1,24,4,126.0,1.0,0.0,0,0,0,0,0,0,0.0,150.9
A_no_reliability,control,15167,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.030303030303030304,174.05
A_no_reliability,control,15184,1,1,35,4,95.0,3.0,0.0,0,0,0,0,0,0,0.5142857142857142,129.25
A_no_reliability,control,15201,1,1,28,4,122.0,1.0,0.0,0,0,0,0,0,0,0.07142857142857142,154.3
A_no_reliability,control,15218,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.041666666666666664,166.4
A_no_reliability,control,15235,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.0,168.95
A_no_reliability,control,15252,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.0,160.45
A_no_reliability,control,15269,1,1,18,4,142.0,0.0,0.0,0,0,0,0,0,0,0.0,161.3
A_no_reliability,control,15286,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.0,168.95
A_no_reliability,control,15303,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.18518518518518517,168.95
A_no_reliability,control,15320,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.125,166.4
A_no_reliability,control,15337,1,1,41,4,99.0,2.0,0.0,0,0,0,0,0,0,0.24390243902439024,149.85
A_no_reliability,control,15354,1,1,23,4,127.0,1.0,0.0,0,0,0,0,0,0,0.08695652173913043,150.05
A_no_reliability,control,15371,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.0625,159.6
A_no_reliability,control,15388,1,1,23,4,117.0,2.0,0.0,0,0,0,0,0,0,0.043478260869565216,134.55
A_no_reliability,control,15405,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.047619047619047616,163.85
A_no_reliability,control,15422,1,1,33,4,117.0,1.0,0.0,0,0,0,0,0,0,0.2727272727272727,158.55
A_no_reliability,control,15439,1,1,35,4,95.0,3.0,0.0,0,0,0,0,0,0,0.02857142857142857,129.25
A_no_reliability,control,15456,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.09090909090909091,174.05
A_no_reliability,control,15473,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.0,165.55
A_no_reliability,control,15490,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.08333333333333333,166.4
A_no_reliability,control,15507,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.34615384615384615,168.1
A_no_reliability,control,15524,1,1,32,4,118.0,1.0,0.0,0,0,0,0,0,0,0.09375,157.7
A_no_reliability,control,15541,1,1,25,4,125.0,1.0,0.0,0,0,0,0,0,0,0.0,151.75
A_no_reliability,control,15558,1,1,37,4,123.0,0.0,0.0,0,0,0,0,0,0,0.02702702702702703,177.45
A_no_reliability,control,15575,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.045454545454545456,164.7
A_no_reliability,control,15592,1,1,36,4,124.0,0.0,0.0,0,0,0,0,0,0,0.05555555555555555,176.6
A_no_reliability,control,15609,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.0,167.25
A_no_reliability,control,15626,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.0,166.4
A_no_reliability,control,15643,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.1,163.0
A_no_reliability,control,15660,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.038461538461538464,168.1
A_no_reliability,control,15677,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.058823529411764705,160.45
A_no_reliability,control,15694,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.08,167.25
A_no_reliability,control,15711,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.375,159.6
A_no_reliability,control,15728,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.17391304347826086,165.55
B_passive_reliability,control,13354,1,1,37,4,123.0,0.0,0.0,0,0,0,0,0,2,0.24324324324324326,174.45
B_passive_reliability,control,13371,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.0,163.0
B_passive_reliability,control,13388,1,1,31,4,119.0,1.0,0.0,0,0,0,0,0,2,0.22580645161290322,153.85
B_passive_reliability,control,13405,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,2,0.36,164.25
B_passive_reliability,control,13422,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.034482758620689655,170.65
B_passive_reliability,control,13439,1,1,34,4,126.0,0.0,0.0,0,0,0,0,0,2,0.3235294117647059,171.9
B_passive_reliability,control,13456,1,1,15,4,145.0,0.0,0.0,0,0,0,0,0,0,0.06666666666666667,158.75
B_passive_reliability,control,13473,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.037037037037037035,168.95
B_passive_reliability,control,13490,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.0,160.45
B_passive_reliability,control,13507,1,1,56,4,104.0,0.0,0.0,0,0,0,0,0,0,0.05357142857142857,193.6
B_passive_reliability,control,13524,1,1,20,4,130.0,1.0,0.0,0,0,0,0,0,0,0.0,147.5
B_passive_reliability,control,13541,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.0,160.45
B_passive_reliability,control,13558,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.043478260869565216,165.55
B_passive_reliability,control,13575,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.1,163.0
