agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival
mirror,0.04,15,0.8,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90,82.04,0.6222222222222222,0.6222222222222222,0.8217411990935213,0.5666666666666667,-2.941666666666663,0.0
mirror,0.08,0,0.35,83.83777777777779,7.346998941923747,0.6555555555555556,0.6555555555555556,31.544444444444444,0.8888888888888888,0.3888888888888889,1.1707343203412557,0.9022478242199368,90,64.98777777777778,0.4888888888888889,0.4888888888888889,1.5055579691308383,0.7888888888888889,18.85000000000001,0.16666666666666669
mirror,0.08,0,0.5,97.64222222222223,6.806836171901419,0.7777777777777778,0.7555555555555555,30.677777777777777,0.8333333333333334,0.7555555555555555,1.0222718126286356,0.9438654596228804,90,64.98777777777778,0.4888888888888889,0.4888888888888889,1.5055579691308383,0.7888888888888889,32.65444444444445,0.2888888888888889
mirror,0.08,0,0.65,100.29222222222224,6.502507386889211,0.8333333333333334,0.8222222222222222,26.166666666666668,0.8444444444444444,0.8222222222222222,0.9602704511446747,0.9649601353330877,90,64.98777777777778,0.4888888888888889,0.4888888888888889,1.5055579691308383,0.7888888888888889,35.30444444444446,0.3444444444444445
mirror,0.08,0,0.8,112.19222222222223,5.4134885468278355,0.9111111111111111,0.9111111111111111,25.655555555555555,0.7777777777777778,1.1222222222222222,0.858082592072716,0.9834648705943903,90,64.98777777777778,0.4888888888888889,0.4888888888888889,1.5055579691308383,0.7888888888888889,47.20444444444445,0.4222222222222222
mirror,0.08,2,0.35,73.21111111111111,7.295824476549606,0.5777777777777777,0.5777777777777777,34.28888888888889,1.0666666666666667,0.4888888888888889,1.274969374240322,0.8905415031947557,90,51.48,0.4111111111111111,0.4,1.628723840607312,1.0888888888888888,21.73111111111111,0.16666666666666663
mirror,0.08,2,0.5,84.89555555555556,6.869527041620722,0.6888888888888889,0.6777777777777778,32.15555555555556,1.011111111111111,0.8333333333333334,1.2055916238294035,0.9292449801171662,90,51.48,0.4111111111111111,0.4,1.628723840607312,1.0888888888888888,33.415555555555564,0.2777777777777778
mirror,0.08,2,0.65,94.13111111111112,6.52936412419144,0.7666666666666667,0.7666666666666667,28.2,0.8111111111111111,1.0444444444444445,1.0856124188034586,0.9630943507848058,90,51.48,0.4111111111111111,0.4,1.628723840607312,1.0888888888888888,42.65111111111113,0.3555555555555556
mirror,0.08,2,0.8,102.14666666666668,6.297417023949826,0.8444444444444444,0.8444444444444444,23.866666666666667,0.6444444444444445,1.0666666666666667,1.043541570549019,0.9814070714626623,90,51.48,0.4111111111111111,0.4,1.628723840607312,1.0888888888888888,50.66666666666668,0.43333333333333335
mirror,0.08,4,0.35,68.22666666666667,7.29433515430439,0.5222222222222223,0.5111111111111111,34.13333333333333,0.8777777777777778,0.4666666666666667,1.2622278352195706,0.8849916141391708,90,61.205555555555556,0.43333333333333335,0.43333333333333335,1.4662997085653529,0.7777777777777778,7.021111111111118,0.0888888888888889
mirror,0.08,4,0.5,81.03444444444445,7.254535997367881,0.6555555555555556,0.6333333333333333,33.51111111111111,0.9333333333333333,0.7666666666666667,1.0679606790707723,0.93325090963756,90,61.205555555555556,0.43333333333333335,0.43333333333333335,1.4662997085653529,0.7777777777777778,19.82888888888889,0.2222222222222222
